timestamp,task1_state,task2_state,task3_state,task9_state,debug_value
2025-03-20 00:00:00.170130,TaskState.Running,TaskState.Ready,TaskState.Blocked,TaskState.Blocked,-60.69
2025-03-20 00:00:00.170280,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Blocked,-60.94
2025-03-20 00:00:00.170520,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.94
2025-03-20 00:00:00.170670,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.94
2025-03-20 00:00:00.170810,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.20
2025-03-20 00:00:00.170920,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.20
2025-03-20 00:00:00.171060,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.46
2025-03-20 00:00:00.171290,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.46
2025-03-20 00:00:00.171430,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.71
2025-03-20 00:00:00.171960,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.71
2025-03-20 00:00:00.172100,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.97
2025-03-20 00:00:00.172510,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-61.97
2025-03-20 00:00:00.172650,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.23
2025-03-20 00:00:00.172760,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.23
2025-03-20 00:00:00.172900,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.49
2025-03-20 00:00:00.173120,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.49
2025-03-20 00:00:00.173250,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.74
2025-03-20 00:00:00.173790,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-62.74
2025-03-20 00:00:00.173930,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.00
2025-03-20 00:00:00.174300,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.00
2025-03-20 00:00:00.174430,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.26
2025-03-20 00:00:00.174560,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.26
2025-03-20 00:00:00.174690,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.51
2025-03-20 00:00:00.174930,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.51
2025-03-20 00:00:00.175070,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.77
2025-03-20 00:00:00.175610,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-63.77
2025-03-20 00:00:00.175740,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.03
2025-03-20 00:00:00.176130,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.03
2025-03-20 00:00:00.176260,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.29
2025-03-20 00:00:00.176370,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.29
2025-03-20 00:00:00.176500,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.54
2025-03-20 00:00:00.176760,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.54
2025-03-20 00:00:00.176900,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.80
2025-03-20 00:00:00.177400,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-64.80
2025-03-20 00:00:00.177530,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.06
2025-03-20 00:00:00.177950,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.06
2025-03-20 00:00:00.178090,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.31
2025-03-20 00:00:00.178190,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.31
2025-03-20 00:00:00.178330,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.57
2025-03-20 00:00:00.178590,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.57
2025-03-20 00:00:00.178720,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.83
2025-03-20 00:00:00.179210,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-65.83
2025-03-20 00:00:00.179350,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-66.09
2025-03-20 00:00:00.179810,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-66.09
